# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Sep  4 14:20:46 2025
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN sy_dist:        Distance [pc]
#
pl_name,hostname,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_lum,sy_dist
11 Com b,11 Com,1.1780000000,12.20000000,4914.89848585,14.900000,0.238000,,,4874.00,13.760000,2.090000,1.97823,93.18460000
11 UMi b,11 UMi,1.5300000000,12.30000000,4684.81420000,13.800000,0.080000,,,4213.00,29.790000,2.780000,2.42951,125.32100000
14 And b,14 And,0.7750000000,13.10000000,1131.15130051,2.760000,0.000000,,,4888.00,11.550000,1.780000,1.83992,75.43920000
14 Her b,14 Her,2.7740000000,12.60000000,2559.47216157,7.030000,0.373000,,,5338.00,0.930000,0.910000,-0.15273,17.93230000
16 Cyg B b,16 Cyg B,1.6600000000,13.50000000,565.73740000,1.260000,0.680000,,,5750.00,1.130000,1.080000,0.09729,21.13970000
17 Sco b,17 Sco,1.4500000000,12.90000000,1373.01871824,3.510000,0.060000,,,4157.00,25.920000,1.220000,2.25435,124.95300000
18 Del b,18 Del,2.4760000000,12.50000000,2926.24614325,8.230000,0.024000,,,4980.00,8.800000,2.100000,1.63367,76.22200000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,330.0000000000,18.64700000,3000.00000000,2.540000,,,1700.00,4060.00,1.313160,0.850000,-0.37000,139.13500000
24 Boo b,24 Boo,0.1940000000,13.90000000,280.64248338,0.574000,0.032000,,,4816.00,12.190000,1.050000,1.87691,95.98630000
24 Sex b,24 Sex,1.3330000000,13.40000000,632.46000000,1.440000,0.090000,,,5098.00,4.900000,1.540000,1.16400,72.06910000
24 Sex c,24 Sex,2.0800000000,13.90000000,273.32000000,0.559000,0.290000,,,5098.00,4.900000,1.540000,1.16400,72.06910000
2M0437 b,2MASS J04372171+2651014,118.0000000000,13.00000000,1271.31362800,3.180000,,,1450.00,3100.00,0.840000,0.170000,-1.16368,128.48400000
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,84.0000000000,12.30000000,4131.79000000,12.200000,,,,,,0.190000,,47.20000000
2MASS J01225093-2439505 b,2MASS J01225093-2439505,52.0000000000,11.20900000,7786.50000000,30.400000,,,1600.00,3530.00,0.366450,0.400000,-1.72000,33.82810000
2MASS J02192210-3925225 b,2MASS J02192210-3925225,156.0000000000,16.14096000,4417.83700000,5.770000,,,,3064.00,0.281000,0.108000,-2.23000,40.08964117
2MASS J0249-0557 c,2MASS J0249-0557 A,1950.0000000000,12.40000000,3686.80952120,10.600000,,,,2859.00,0.315959,0.046000,-2.59000,66.06130000
2MASS J03590986+2009361 b,2MASS J03590986+2009361,572.0000000000,12.20000000,5720.91132600,17.300000,,,2369.00,2943.00,0.289776,0.264996,-2.24602,117.43500000
2MASS J04414489+2301513 b,2MASS J04414489+2301513,15.0000000000,12.60000000,2383.60000000,6.550000,,,,2936.00,0.231916,0.019000,-2.44363,120.42398696
2MASS J11011926-7732383 b,2MASS J11011926-7732383,266.0000000000,11.90000000,8899.19539600,29.000000,,,2677.00,,,,,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,587.0000000000,12.10000000,6356.56814000,19.700000,,,2506.00,3021.00,0.600455,0.588460,-1.56774,100.86200000
2MASS J12073346-3932539 b,2MASS J12073346-3932539,55.0000000000,12.90000000,1589.15000000,4.070000,,,1250.00,2825.00,0.218870,0.024000,-2.56086,64.30800000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,0.9200000000,13.40000000,603.87700000,1.380000,0.330000,,,29564.00,0.203000,0.480000,1.45000,396.33200000
2MASS J21252752-8138278 b,2MASS J21252752-8138278,7493.0000000000,12.40000000,3813.94088400,11.000000,,,1616.00,3592.00,0.672832,0.643977,-1.16815,34.11540000
2MASS J22362452+4751425 b,2MASS J22362452+4751425,230.0000000000,12.30000000,3972.87500000,11.700000,,,,4045.00,0.641152,0.600000,-1.02143,69.57370000
30 Ari B b,30 Ari B,0.9900000000,12.30000000,4392.41060000,13.000000,0.290000,,,6331.00,1.410000,1.930000,0.38099,44.65700000
4 UMa b,4 UMa,0.8770000000,12.60000000,2511.48007211,6.900000,0.453000,,,4415.00,18.110000,1.234000,2.06236,73.46030000
47 UMa b,47 UMa,2.1000000000,13.20000000,804.08000000,1.920000,0.032000,,,5872.00,1.213340,1.060000,0.19780,13.79670000
47 UMa c,47 UMa,3.6000000000,14.20000000,171.62100000,0.329000,0.098000,,,5872.00,1.213340,1.060000,0.19780,13.79670000
47 UMa d,47 UMa,11.6000000000,13.50000000,521.22000000,1.160000,0.160000,,,5872.00,1.213340,1.060000,0.19780,13.79670000
51 Eri b,51 Eri,13.2000000000,13.40000000,635.66000000,1.450000,0.450000,,700.00,7295.00,1.487260,1.750000,0.85000,29.75750000
51 Peg b,51 Peg,0.0527000000,14.30000000,146.20180000,0.275000,0.013000,,,5758.00,1.175610,1.030000,0.13631,15.46140000
55 Cnc b,55 Cnc,0.1134000000,13.90000000,263.97850000,0.540000,0.000000,,700.00,5172.00,0.943000,0.905000,-0.19695,12.58550000
55 Cnc c,55 Cnc,0.2373000000,8.51000000,54.47380000,0.486000,0.030000,,,5172.00,0.943000,0.905000,-0.19695,12.58550000
55 Cnc d,55 Cnc,5.9570000000,13.00000000,1232.49300000,3.080000,0.130000,,,5172.00,0.943000,0.905000,-0.19695,12.58550000
55 Cnc e,55 Cnc,0.0154400000,1.87500000,7.99000000,6.660000,0.050000,2657.8322,1958.00,5172.00,0.943000,0.905000,-0.19695,12.58550000
55 Cnc f,55 Cnc,0.7708000000,7.59000000,44.81200000,0.563000,0.080000,,,5172.00,0.943000,0.905000,-0.19695,12.58550000
6 Lyn b,6 Lyn,2.0280000000,13.40000000,597.83523357,1.370000,0.042000,,,4941.00,4.940000,1.320000,1.11860,54.65990000
61 Vir b,61 Vir,0.0502010000,2.11000000,5.10000000,2.980000,0.120000,,,5577.00,0.963000,0.942000,-0.09500,8.50332000
61 Vir c,61 Vir,0.2175000000,4.46000000,18.20000000,1.130000,0.140000,,,5577.00,0.963000,0.942000,-0.09500,8.50332000
61 Vir d,61 Vir,0.4760000000,5.11000000,22.90000000,0.943000,0.350000,,,5577.00,0.963000,0.942000,-0.09500,8.50332000
7 CMa b,7 CMa,1.7580000000,13.40000000,587.98550000,1.340000,0.060000,,,4826.00,4.870000,1.340000,1.06258,19.81010000
7 CMa c,7 CMa,2.1530000000,13.90000000,276.51210000,0.566000,0.080000,,,4826.00,4.870000,1.340000,1.06258,19.81010000
70 Vir b,70 Vir,0.4810000000,12.60000000,2380.45000000,6.540000,0.398800,,,5495.00,1.890000,1.090000,0.45130,17.90110000
75 Cet b,75 Cet,1.9120000000,13.30000000,787.89662095,1.840000,0.093000,,,4809.00,10.380000,1.920000,1.71450,82.96130000
75 Cet c,75 Cet,3.9290000000,13.90000000,289.85950718,0.593000,0.023000,,,4809.00,10.380000,1.920000,1.71450,82.96130000
8 UMi b,8 UMi,0.4900000000,13.60000000,416.35730000,0.910000,0.060000,,,4847.00,10.300000,1.440000,1.72518,162.55200000
81 Cet b,81 Cet,2.1040000000,13.10000000,1051.05854195,2.570000,0.037000,,,4734.00,11.210000,1.230000,1.76027,101.26000000
91 Aqr b,91 Aqr,0.7000000000,13.10000000,1017.00000000,2.490000,0.027000,,,4665.00,11.000000,1.400000,1.69239,44.03040000
AB Aur b,AB Aur,93.9000000000,12.50000000,2860.45566300,8.050000,0.400000,,,9770.00,2.958870,2.400000,1.77085,162.12700000
